FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,MEASURE,Measure (DESC),ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-08,98.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-09,97.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-10,96.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-11,98.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2025-12,96.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2026-01,97.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2026-02,99.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0116,Frutta e frutta a guscio,2026-03,102.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-04,101.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-05,99.6,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-06,98.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-07,98.2,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-08,99.4,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-09,100.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-10,99.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-11,98.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2025-12,100.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2026-01,101.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2026-02,103.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0117,'Ortaggi, tuberi, banane plantano, banane da cucina e legumi',2026-03,102.8,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-04,99.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-05,99.3,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-06,99.6,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-07,99.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-08,100.7,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-09,100.5,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-10,101.9,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-11,102,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2025-12,102.1,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2026-01,102.6,,
M,Monthly,IT,Italy,87,Harmonized index of consumer prices (base 2025=100) - monthly data,4,Index number,0118,'Zucchero, dolciumi e dessert',2026-02,101.9,,
