FREQ,Frequency,REF_AREA,Territory,DATA_TYPE,Indicator,ECOICOP_2,ECOICOP 2,TIME_PERIOD,Observation,OBS_STATUS,Observation status
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2015,2242,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2016,1850,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2017,1656,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2018,1667,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2019,1433,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2020,1322,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2021,1140,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2022,1125,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2023,1336,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2024,1288,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2025,1053,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,09722,Riviste e periodici,2026,1294,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2016,1850,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2017,1656,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2018,1667,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2019,1433,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2020,1322,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2021,1140,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2022,1125,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2023,1336,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2024,1288,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2025,1053,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,097221,Riviste e periodici,2026,1294,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,1996,4000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,1997,4000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,1998,4000,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,1999,2890,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2000,2469,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2001,2799,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2002,2658,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2003,2525,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2004,2004,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2005,2015,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2006,1958,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2007,1500,,
A,Annual,IT,Italy,3,Consumer price index for the whole nation - weights,0974,Articoli di cartoleria e materiale da disegno,2008,1622,,
